VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,1/1/2016 0:00,1/1/2016 0:00,2,1.1,-73.9903717,40.734695434570313,1,N,-73.98184204,40.732406616210937,2,7.5,0.5,0.5,0,0,0.3,8.8
2,1/1/2016 0:00,1/1/2016 0:00,5,4.9,-73.98078156,40.729911804199219,1,N,-73.94447327,40.716678619384766,1,18,0.5,0.5,0,0,0.3,19.3
2,1/1/2016 0:00,1/1/2016 0:00,1,10.54,-73.98455048,40.6795654296875,1,N,-73.95027161,40.788925170898438,1,33,0.5,0.5,0,0,0.3,34.3
2,1/1/2016 0:00,1/1/2016 0:00,1,4.75,-73.99346924,40.718990325927734,1,N,-73.96224213,40.657333374023437,2,16.5,0,0.5,0,0,0.3,17.3
2,1/1/2016 0:00,1/1/2016 0:00,3,1.76,-73.96062469,40.781330108642578,1,N,-73.9772644,40.758514404296875,2,8,0,0.5,0,0,0.3,8.8
2,1/1/2016 0:00,1/1/2016 0:18,2,5.52,-73.9801178,40.743049621582031,1,N,-73.9134903,40.763141632080078,2,19,0.5,0.5,0,0,0.3,20.3
2,1/1/2016 0:00,1/1/2016 0:26,2,7.45,-73.9940567,40.719989776611328,1,N,-73.966362,40.789871215820313,2,26,0.5,0.5,0,0,0.3,27.3
1,1/1/2016 0:00,1/1/2016 0:11,1,1.2,-73.97942352,40.744613647460938,1,N,-73.99203491,40.753944396972656,2,9,0.5,0.5,0,0,0.3,10.3
1,1/1/2016 0:00,1/1/2016 0:11,1,6,-73.94715118,40.791046142578125,1,N,-73.92076874,40.865577697753906,2,18,0.5,0.5,0,0,0.3,19.3
2,1/1/2016 0:00,1/1/2016 0:11,1,3.21,-73.99834442,40.723896026611328,1,N,-73.99584961,40.688400268554688,2,11.5,0.5,0.5,0,0,0.3,12.8
2,1/1/2016 0:00,1/1/2016 0:06,1,0.79,-74.00614929,40.744918823242188,1,N,-73.9937973,40.741439819335938,2,6,0.5,0.5,0,0,0.3,7.3
2,1/1/2016 0:00,1/1/2016 0:15,6,2.43,-73.96932983,40.763538360595703,1,N,-73.99568939,40.744251251220703,1,12,0.5,0.5,3.99,0,0.3,17.29
2,1/1/2016 0:00,1/1/2016 0:00,4,0.01,-73.9890213,40.721538543701172,1,N,-73.98896027,40.721698760986328,2,2.5,0.5,0.5,0,0,0.3,3.8
1,1/1/2016 0:00,1/1/2016 0:14,1,3.7,-74.00430298,40.742240905761719,1,N,-74.00736237,40.706935882568359,1,14,0.5,0.5,3.05,0,0.3,18.35
1,1/1/2016 0:00,1/1/2016 0:14,2,2.2,-73.99199677,40.718578338623047,1,N,-74.00513458,40.739944458007813,1,11,0.5,0.5,1.5,0,0.3,13.8
2,1/1/2016 0:00,1/1/2016 0:07,1,0.54,-73.98516083,40.768951416015625,1,N,-73.99022675,40.761730194091797,2,6,0.5,0.5,0,0,0.3,7.3
2,1/1/2016 0:00,1/1/2016 0:07,1,1.92,-73.97309113,40.795360565185547,1,N,-73.97837067,40.773151397705078,2,7.5,0.5,0.5,0,0,0.3,8.8
1,1/1/2016 0:00,1/1/2016 0:04,1,1.7,-73.98210144,40.774696350097656,1,Y,-73.97093964,40.796707153320313,1,7,0.5,0.5,1.65,0,0.3,9.95
2,1/1/2016 0:00,1/1/2016 0:07,1,1.38,-73.99484253,40.718498229980469,1,N,-73.98980713,40.734230041503906,1,7,0.5,0.5,1.66,0,0.3,9.96
1,1/1/2016 0:00,1/1/2016 0:20,2,4.9,-73.95303345,40.672115325927734,1,N,-73.98657227,40.710594177246094,1,19,0.5,0.5,4.06,0,0.3,24.36
1,1/1/2016 0:00,1/1/2016 0:09,1,1.8,-73.98916626,40.726589202880859,1,N,-74.00948334,40.715072631835938,2,9,0.5,0.5,0,0,0.3,10.3
2,1/1/2016 0:00,1/1/2016 0:18,1,3.09,-73.99906921,40.720172882080078,1,N,-73.97338867,40.756561279296875,2,14.5,0.5,0.5,0,0,0.3,15.8
2,1/1/2016 0:00,1/1/2016 0:04,1,0.72,-73.99713898,40.747219085693359,1,N,-74.00448608,40.751796722412109,2,5,0.5,0.5,0,0,0.3,6.3
2,1/1/2016 0:00,1/1/2016 0:03,1,0.69,-73.99741364,40.736675262451172,1,N,-73.98566437,40.732681274414063,2,4.5,0.5,0.5,0,0,0.3,5.8
1,1/1/2016 0:00,1/1/2016 0:19,3,5.3,-73.99713135,40.736961364746094,1,N,-73.92842102,40.755580902099609,1,18,0.5,0.5,3.85,0,0.3,23.15
1,1/1/2016 0:00,1/1/2016 0:07,2,1.2,-73.96391296,40.712173461914062,1,N,-73.95133209,40.712200164794922,2,7,0.5,0.5,0,0,0.3,8.3
2,1/1/2016 0:00,1/1/2016 0:06,2,0.97,-73.99939728,40.743900299072266,1,N,-73.98887634,40.745319366455078,2,6,0.5,0.5,0,0,0.3,7.3
2,1/1/2016 0:00,1/1/2016 0:02,1,0.87,-73.95440674,40.778068542480469,1,N,-73.94892883,40.788581848144531,2,4.5,0.5,0.5,0,0,0.3,5.8
2,1/1/2016 0:00,1/1/2016 0:01,1,0.13,-73.99165344,40.754558563232422,1,N,-73.99060059,40.756118774414063,2,3,0.5,0.5,0,0,0.3,4.3
1,1/1/2016 0:00,1/1/2016 0:13,1,2.4,-73.99559784,40.744239807128906,1,N,-73.98545837,40.768711090087891,1,11,0.5,0.5,3.05,0,0.3,15.35
2,1/1/2016 0:00,1/1/2016 0:02,2,0.44,-73.99027252,40.772010803222656,1,N,-73.99504089,40.769771575927734,1,4,0.5,0.5,1.06,0,0.3,6.36
2,1/1/2016 0:00,1/1/2016 0:06,1,1.56,-73.94010925,40.751152038574219,1,N,-73.93002319,40.767051696777344,2,7.5,0.5,0.5,0,0,0.3,8.8
1,1/1/2016 0:00,1/1/2016 0:33,2,2.9,-73.98215485,40.774879455566406,1,N,-73.98136139,40.744113922119141,2,20.5,0.5,0.5,0,0,0.3,21.8
1,1/1/2016 0:00,1/1/2016 0:19,1,1.2,-74.00806427,40.742069244384766,1,N,-74.00228882,40.742164611816406,3,12.5,0.5,0.5,0,0,0.3,13.8
1,1/1/2016 0:00,1/1/2016 0:13,1,1.5,-74.00267792,40.730636596679688,1,N,-73.98042297,40.726211547851563,1,10,0.5,0.5,3.35,0,0.3,14.65
2,1/1/2016 0:00,1/1/2016 0:42,1,2.32,-73.98165894,40.773738861083984,1,N,-73.99596405,40.753837585449219,2,19,0.5,0.5,0,0,0.3,20.3
2,1/1/2016 0:00,1/1/2016 0:14,5,9.63,-73.98174286,40.719158172607422,1,N,-73.93882751,40.829181671142578,1,27,0.5,0.5,8.49,0,0.3,36.79
2,1/1/2016 0:00,1/1/2016 0:05,5,1.17,-73.96305847,40.775016784667969,1,N,-73.95174408,40.778800964355469,2,6,0.5,0.5,0,0,0.3,7.3
1,1/1/2016 0:00,1/1/2016 0:19,1,3.4,0,0,1,N,0,0,2,14.5,0.5,0.5,0,0,0.3,15.8
2,1/1/2016 0:00,1/1/2016 0:06,3,1.32,-73.96125793,40.796199798583984,1,N,-73.95005035,40.787311553955078,2,6.5,0.5,0.5,0,0,0.3,7.8
1,1/1/2016 0:00,1/1/2016 0:29,1,13,-73.98223877,40.757701873779297,1,N,-73.90930939,40.862049102783203,2,36.5,0.5,0.5,0,0,0.3,37.8
1,1/1/2016 0:00,1/1/2016 0:17,1,0.7,-73.89412689,40.636573791503906,1,Y,-73.89250183,40.634834289550781,2,11,0.5,0.5,0,0,0.3,12.3
1,1/1/2016 0:00,1/1/2016 0:32,1,5.4,-73.94641876,40.789138793945313,1,N,-73.91590118,40.851547241210937,2,24.5,0.5,0.5,0,0,0.3,25.8
2,1/1/2016 0:00,1/1/2016 0:12,1,3.3,-73.97567749,40.749099731445313,1,N,-73.97364807,40.78369141,1,12,0.5,0.5,2.66,0,0.3,15.96
2,1/1/2016 0:00,1/1/2016 0:13,6,2.94,-73.94969177,40.784618377685547,1,N,-73.97103119,40.751018524169922,2,12,0.5,0.5,0,0,0.3,13.3
2,1/1/2016 0:00,1/1/2016 0:13,2,5.23,-73.98184967,40.716880798339844,1,N,-73.96932983,40.769378662109375,2,17.5,0.5,0.5,0,0,0.3,18.8
1,1/1/2016 0:00,1/1/2016 0:07,1,1.3,-73.96588135,40.688564300537109,1,N,-73.96269226,40.671928405761719,1,7.5,0.5,0.5,1.75,0,0.3,10.55
1,1/1/2016 0:00,1/1/2016 0:17,1,4.7,-73.99586487,40.767772674560547,1,N,-74.00960541,40.709926605224609,1,17,0.5,0.5,2,0,0.3,20.3
2,1/1/2016 0:00,1/1/2016 0:08,1,0.83,-73.9787674,40.745105743408203,1,N,-73.99221039,40.749309539794922,2,7,0.5,0.5,0,0,0.3,8.3
1,1/1/2016 0:00,1/1/2016 0:22,1,15.4,-73.97650146,40.733562469482422,1,N,-73.85426331,40.891788482666016,1,41.5,0.5,0.5,8.55,0,0.3,51.35
2,1/1/2016 0:00,1/1/2016 0:08,3,1.64,-73.96937561,40.785236358642578,1,N,-73.94556427,40.777980804443359,1,8.5,0.5,0.5,0,0,0.3,9.8
1,1/1/2016 0:00,1/1/2016 0:15,1,5.1,-73.99058533,40.745880126953125,1,N,-73.96988678,40.801265716552734,1,17.5,0.5,0.5,2.82,0,0.3,21.62
2,1/1/2016 0:00,1/1/2016 0:18,1,1.1,-73.97434235,40.756660461425781,1,N,-73.98148346,40.753715515136719,2,11.5,0.5,0.5,0,0,0.3,12.8
